run_id,runner,test_id,task,rep,load_time_s,ttft_ms,gen_tps_burst,gen_tps_sustained,total_time_s,quality_score,peak_cpu_pct,avg_cpu_pct,peak_gpu_pct,avg_gpu_pct,peak_mem_gb,avg_mem_gb,peak_cpu_temp_c,avg_cpu_temp_c,peak_gpu_temp_c,avg_gpu_temp_c,peak_power_w,avg_power_w,notes
ollama_1782306453,ollama,t1,cold_start,1,0.0,0.0,,,0.69,,9.0,4.5,29.8,16.4,21.83,21.83,0.0,0.0,0.0,0.0,2.3,1.0,
ollama_1782306456,ollama,t1,cold_start,2,0.0,0.0,,,0.71,,9.0,4.5,31.1,17.1,25.96,25.96,0.0,0.0,0.0,0.0,1.5,0.5,
ollama_1782306460,ollama,t1,cold_start,3,0.0,0.0,,,0.68,,9.0,4.5,28.9,16.0,25.73,25.73,0.0,0.0,0.0,0.0,1.4,0.5,
ollama_1782306463,ollama,t2,raw_tps,1,,0.0,42.9,,11.94,,9.0,4.5,100.0,87.0,26.24,26.17,0.0,0.0,0.0,0.0,6.3,4.7,
ollama_1782306597,ollama,t2,raw_tps,2,,0.0,,,11.83,,9.0,4.5,100.0,87.1,26.27,26.02,0.0,0.0,0.0,0.0,6.3,4.5,
ollama_1782306731,ollama,t2,raw_tps,3,,0.0,,43.5,11.78,,9.0,4.5,100.0,87.2,26.23,26.11,0.0,0.0,0.0,0.0,6.2,4.5,
ollama_1782306745,ollama,t3,ttft_prefill,1,,0.0,,5.1,9.77,,9.0,4.5,100.0,84.6,26.13,23.01,0.0,0.0,0.0,0.0,16.4,8.9,
ollama_1782306757,ollama,t3,ttft_prefill,2,,0.0,,34.9,1.43,,9.0,4.5,100.0,44.7,26.12,25.83,0.0,0.0,0.0,0.0,7.2,2.4,
ollama_1782306761,ollama,t3,ttft_prefill,3,,0.0,,35.1,1.43,,9.0,4.5,100.0,44.2,25.79,25.73,0.0,0.0,0.0,0.0,7.1,2.3,
ollama_1782306765,ollama,t5,email,1,,0.0,,39.7,12.91,,9.0,4.5,100.0,88.1,26.25,26.12,0.0,0.0,0.0,0.0,14.0,5.3,
ollama_1782306780,ollama,t5,email,2,,0.0,,42.4,12.08,,9.0,4.5,100.0,85.8,26.25,26.15,0.0,0.0,0.0,0.0,6.7,4.8,
ollama_1782306795,ollama,t5,news,1,,0.0,,40.3,12.71,,9.0,4.5,100.0,88.1,25.79,25.72,0.0,0.0,0.0,0.0,11.9,5.3,
ollama_1782306810,ollama,t5,news,2,,0.0,,42.5,12.05,,9.0,4.5,100.0,87.2,25.79,25.69,0.0,0.0,0.0,0.0,6.8,4.9,
ollama_1782306824,ollama,t5,pr,1,,0.0,,39.0,13.13,,9.0,4.5,100.0,86.9,25.59,25.47,0.0,0.0,0.0,0.0,13.9,5.5,
ollama_1782306841,ollama,t5,pr,2,,0.0,,41.8,12.26,,9.0,4.5,100.0,86.9,25.64,25.51,0.0,0.0,0.0,0.0,6.8,5.1,
ollama_1782310701,ollama,t4,task_a,1,,,,,38.52,88,9.0,4.5,100.0,94.1,26.8,25.71,0.0,0.0,0.0,0.0,16.0,6.0,
ollama_1782310742,ollama,t4,task_b,1,,,,,254.34,95,9.0,4.5,100.0,98.3,26.69,24.1,0.0,0.0,0.0,0.0,16.6,2.7,
