run_id,runner,test_id,task,rep,load_time_s,ttft_ms,gen_tps_burst,gen_tps_sustained,total_time_s,quality_score,peak_cpu_pct,avg_cpu_pct,peak_gpu_pct,avg_gpu_pct,peak_mem_gb,avg_mem_gb,peak_cpu_temp_c,avg_cpu_temp_c,peak_gpu_temp_c,avg_gpu_temp_c,peak_power_w,avg_power_w,notes
omlx_1782305322,omlx,t1,cold_start,1,0.58,584.2,,,0.81,,9.0,4.5,13.7,8.3,24.79,24.79,0.0,0.0,0.0,0.0,1.1,0.5,
omlx_1782305326,omlx,t1,cold_start,2,0.57,569.1,,,0.8,,9.0,4.5,11.1,7.2,25.17,25.17,0.0,0.0,0.0,0.0,1.2,0.6,
omlx_1782305386,omlx,t1,cold_start,3,0.58,575.7,,,0.8,,9.0,4.5,11.0,7.1,24.72,24.72,0.0,0.0,0.0,0.0,1.2,0.6,
omlx_1782305389,omlx,t2,raw_tps,1,,586.2,55.8,,9.17,,9.0,4.5,100.0,80.7,25.32,25.29,0.0,0.0,0.0,0.0,8.5,5.6,
omlx_1782305521,omlx,t2,raw_tps,2,,646.5,,,9.22,,9.0,4.5,100.0,80.6,25.31,25.2,0.0,0.0,0.0,0.0,8.4,5.6,
omlx_1782305653,omlx,t2,raw_tps,3,,652.3,,55.5,9.22,,9.0,4.5,100.0,80.7,25.33,25.22,0.0,0.0,0.0,0.0,8.5,5.6,
omlx_1782305666,omlx,t3,ttft_prefill,1,,3878.0,,10.6,4.7,,9.0,4.5,99.7,66.5,26.17,25.78,0.0,0.0,0.0,0.0,17.5,7.5,
omlx_1782305673,omlx,t3,ttft_prefill,2,,3178.5,,12.5,4.0,,9.0,4.5,100.0,61.2,26.44,25.74,0.0,0.0,0.0,0.0,17.3,6.9,
omlx_1782305679,omlx,t3,ttft_prefill,3,,3043.3,,12.9,3.86,,9.0,4.5,99.6,64.2,26.5,25.76,0.0,0.0,0.0,0.0,17.4,7.1,
omlx_1782305685,omlx,t5,email,1,,1465.0,,50.1,10.22,,9.0,4.5,100.0,82.4,26.11,25.36,0.0,0.0,0.0,0.0,16.1,6.3,
omlx_1782305698,omlx,t5,email,2,,1465.0,,50.0,10.24,,9.0,4.5,100.0,82.4,26.11,25.35,0.0,0.0,0.0,0.0,15.9,6.4,
omlx_1782305711,omlx,t5,news,1,,1263.4,,51.2,10.0,,9.0,4.5,100.0,82.5,25.98,25.34,0.0,0.0,0.0,0.0,14.0,6.4,
omlx_1782305723,omlx,t5,news,2,,1219.1,,51.4,9.96,,9.0,4.5,100.0,82.8,25.29,25.26,0.0,0.0,0.0,0.0,13.7,6.4,
omlx_1782305735,omlx,t5,pr,1,,1222.4,,51.2,10.0,,9.0,4.5,100.0,84.2,25.89,25.32,0.0,0.0,0.0,0.0,13.8,6.7,
omlx_1782305747,omlx,t5,pr,2,,1396.1,,50.3,10.17,,9.0,4.5,100.0,81.9,26.09,25.34,0.0,0.0,0.0,0.0,15.0,6.6,
omlx_1782311176,omlx,t4,task_a,1,,,,,43.23,95,9.0,4.5,100.0,90.2,26.79,25.53,0.0,0.0,0.0,0.0,17.0,7.7,
omlx_1782311222,omlx,t4,task_b,1,,,,,86.97,90,9.0,4.5,100.0,95.7,26.87,25.75,0.0,0.0,0.0,0.0,15.1,3.6,
